talhao,idade,prescrição,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,VPL
8,1,10,0,0,0,0,4077,0,0,0,0,0,4887,0,0,0,0,4077,-67682
8,1,13,0,0,0,0,4077,0,0,0,0,0,4887,0,0,0,0,0,-29168
8,1,19,0,0,0,0,4077,0,0,0,0,0,0,5535,0,0,0,0,-30355
8,1,28,0,0,0,0,0,4887,0,0,0,0,4077,0,0,0,0,4077,-61849
8,1,31,0,0,0,0,0,4887,0,0,0,0,4077,0,0,0,0,0,-23335
8,1,37,0,0,0,0,0,4887,0,0,0,0,0,4887,0,0,0,0,-19659
8,1,46,0,0,0,0,0,4887,0,0,0,0,0,0,5535,0,0,0,-60172
8,1,55,0,0,0,0,0,0,5535,0,0,0,0,4077,0,0,0,0,-21405
8,1,64,0,0,0,0,0,0,5535,0,0,0,0,0,4887,0,0,0,-57414
8,1,73,0,0,0,0,0,0,5535,0,0,0,0,0,0,5535,0,0,-57440
9,1,1,0,0,0,0,3920,0,0,0,0,3920,0,0,0,0,3920,0,-1929
9,1,4,0,0,0,0,3920,0,0,0,0,3920,0,0,0,0,0,4480,15776
9,1,7,0,0,0,0,3920,0,0,0,0,3920,0,0,0,0,0,0,40850
9,1,10,0,0,0,0,3920,0,0,0,0,0,4480,0,0,0,0,3920,16754
9,1,13,0,0,0,0,3920,0,0,0,0,0,4480,0,0,0,0,0,43941
9,1,19,0,0,0,0,3920,0,0,0,0,0,0,4940,0,0,0,0,41740
9,1,28,0,0,0,0,0,4480,0,0,0,0,3920,0,0,0,0,3920,18189
9,1,31,0,0,0,0,0,4480,0,0,0,0,3920,0,0,0,0,0,45376
9,1,37,0,0,0,0,0,4480,0,0,0,0,0,4480,0,0,0,0,46280
9,1,46,0,0,0,0,0,4480,0,0,0,0,0,0,4940,0,0,0,3939
9,1,55,0,0,0,0,0,0,4940,0,0,0,0,3920,0,0,0,0,43048
9,1,64,0,0,0,0,0,0,4940,0,0,0,0,0,4480,0,0,0,3583
9,1,73,0,0,0,0,0,0,4940,0,0,0,0,0,0,4940,0,0,-638
